"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SUBP","MEASYEAR","SOILSPCT","COMPCPCT","TYPRTDCD","TYPCMPCD","TYPAREACD","TYPOTHRCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"232522239010854","22333574010478",2003,1,23,39,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522240010854","22333574010478",2003,1,23,39,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522241010854","22333574010478",2003,1,23,39,3,2003,5,5,1,0,0,0,"",2010-07-01,"10854","",,""
"232522242010854","22333574010478",2003,1,23,39,4,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522215010854","22333682010478",2003,1,25,31,1,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522216010854","22333682010478",2003,1,25,31,2,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522217010854","22333682010478",2003,1,25,31,3,2003,10,0,,,,,"",2010-07-01,"10854","",,""
"232522218010854","22333682010478",2003,1,25,31,4,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522159010854","22333936010478",2003,1,29,8,1,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522160010854","22333936010478",2003,1,29,8,2,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522161010854","22333936010478",2003,1,29,8,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522162010854","22333936010478",2003,1,29,8,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522155010854","22333984010478",2003,1,31,30,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522156010854","22333984010478",2003,1,31,30,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522157010854","22333984010478",2003,1,31,30,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522158010854","22333984010478",2003,1,31,30,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522319010854","22334057010478",2003,1,33,22,1,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522320010854","22334057010478",2003,1,33,22,2,2003,15,0,,,,,"",2010-07-01,"10854","",,""
"232522321010854","22334057010478",2003,1,33,22,3,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522322010854","22334057010478",2003,1,33,22,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522287010854","22334099010478",2003,1,35,27,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522288010854","22334099010478",2003,1,35,27,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522289010854","22334099010478",2003,1,35,27,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522290010854","22334099010478",2003,1,35,27,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522259010854","22334235010478",2003,1,37,40,1,2003,20,0,,,,,"",2010-07-01,"10854","",,""
"232522260010854","22334235010478",2003,1,37,40,2,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522261010854","22334235010478",2003,1,37,40,3,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522262010854","22334235010478",2003,1,37,40,4,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522283010854","22334299010478",2003,1,39,16,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522284010854","22334299010478",2003,1,39,16,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522285010854","22334299010478",2003,1,39,16,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522286010854","22334299010478",2003,1,39,16,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522175010854","22334461010478",2003,1,41,54,1,2003,5,5,0,1,0,0,"",2010-07-01,"10854","",,""
"232522176010854","22334461010478",2003,1,41,54,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522177010854","22334461010478",2003,1,41,54,3,2003,5,5,0,1,0,0,"",2010-07-01,"10854","",,""
"232522178010854","22334461010478",2003,1,41,54,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522299010854","22334597010478",2003,1,43,17,1,2003,15,0,,,,,"",2010-07-01,"10854","",,""
"232522300010854","22334597010478",2003,1,43,17,2,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522301010854","22334597010478",2003,1,43,17,3,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522302010854","22334597010478",2003,1,43,17,4,2003,65,5,1,1,0,0,"",2010-07-01,"10854","",,""
"232522267010854","22334807010478",2003,1,47,32,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522268010854","22334807010478",2003,1,47,32,2,2003,35,0,,,,,"",2010-07-01,"10854","",,""
"232522269010854","22334807010478",2003,1,47,32,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522270010854","22334807010478",2003,1,47,32,4,2003,90,0,,,,,"",2010-07-01,"10854","",,""
"232522199010854","22334733010478",2003,1,47,61,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522200010854","22334733010478",2003,1,47,61,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522201010854","22334733010478",2003,1,47,61,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522202010854","22334733010478",2003,1,47,61,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522195010854","22335051010478",2003,1,53,82,1,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522196010854","22335051010478",2003,1,53,82,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522197010854","22335051010478",2003,1,53,82,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522198010854","22335051010478",2003,1,53,82,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522183010854","22343234010478",2003,1,55,5,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522184010854","22343234010478",2003,1,55,5,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522185010854","22343234010478",2003,1,55,5,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522186010854","22343234010478",2003,1,55,5,4,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522251010854","22343385010478",2003,1,59,36,1,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522252010854","22343385010478",2003,1,59,36,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522253010854","22343385010478",2003,1,59,36,3,2003,20,0,,,,,"",2010-07-01,"10854","",,""
"232522254010854","22343385010478",2003,1,59,36,4,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522247010854","22343342010478",2003,1,59,43,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522248010854","22343342010478",2003,1,59,43,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522249010854","22343342010478",2003,1,59,43,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522250010854","22343342010478",2003,1,59,43,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522303010854","22343571010478",2003,1,65,6,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522304010854","22343571010478",2003,1,65,6,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522305010854","22343571010478",2003,1,65,6,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522306010854","22343571010478",2003,1,65,6,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522143010854","22343702010478",2003,1,67,18,1,2003,40,0,,,,,"",2010-07-01,"10854","",,""
"232522144010854","22343702010478",2003,1,67,18,2,2003,35,0,,,,,"",2010-07-01,"10854","",,""
"232522145010854","22343702010478",2003,1,67,18,3,2003,75,0,,,,,"",2010-07-01,"10854","",,""
"232522146010854","22343702010478",2003,1,67,18,4,2003,10,0,,,,,"",2010-07-01,"10854","",,""
"232522179010854","22343829010478",2003,1,71,5,1,2003,40,1,0,1,0,0,"",2010-07-01,"10854","",,""
"232522180010854","22343829010478",2003,1,71,5,2,2003,30,5,0,1,0,0,"",2010-07-01,"10854","",,""
"232522181010854","22343829010478",2003,1,71,5,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522182010854","22343829010478",2003,1,71,5,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522227010854","22344029010478",2003,1,73,15,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522228010854","22344029010478",2003,1,73,15,2,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522229010854","22344029010478",2003,1,73,15,3,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522230010854","22344029010478",2003,1,73,15,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522295010854","22343975010478",2003,1,73,20,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522296010854","22343975010478",2003,1,73,20,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522297010854","22343975010478",2003,1,73,20,3,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522298010854","22343975010478",2003,1,73,20,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522255010854","22344036010478",2003,1,75,32,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522256010854","22344036010478",2003,1,75,32,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522257010854","22344036010478",2003,1,75,32,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522258010854","22344036010478",2003,1,75,32,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522275010854","22344303010478",2003,1,81,13,1,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522276010854","22344303010478",2003,1,81,13,2,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522277010854","22344303010478",2003,1,81,13,3,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522278010854","22344303010478",2003,1,81,13,4,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522271010854","22344682010478",2003,1,89,11,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522272010854","22344682010478",2003,1,89,11,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522273010854","22344682010478",2003,1,89,11,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522274010854","22344682010478",2003,1,89,11,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522311010854","22344800010478",2003,1,91,13,1,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522312010854","22344800010478",2003,1,91,13,2,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522313010854","22344800010478",2003,1,91,13,3,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522314010854","22344800010478",2003,1,91,13,4,2003,5,15,0,1,0,0,"",2010-07-01,"10854","",,""
"232522231010854","22344733010478",2003,1,91,53,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522232010854","22344733010478",2003,1,91,53,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522233010854","22344733010478",2003,1,91,53,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522234010854","22344733010478",2003,1,91,53,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522307010854","22345046010478",2003,1,97,68,1,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522308010854","22345046010478",2003,1,97,68,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522309010854","22345046010478",2003,1,97,68,3,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522310010854","22345046010478",2003,1,97,68,4,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522243010854","22345107010478",2003,1,97,129,1,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522244010854","22345107010478",2003,1,97,129,2,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522245010854","22345107010478",2003,1,97,129,3,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522246010854","22345107010478",2003,1,97,129,4,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522263010854","22345222010478",2003,1,99,43,1,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522264010854","22345222010478",2003,1,99,43,2,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522265010854","22345222010478",2003,1,99,43,3,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522266010854","22345222010478",2003,1,99,43,4,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522203010854","22345400010478",2003,1,103,54,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522204010854","22345400010478",2003,1,103,54,2,2003,0,20,0,1,0,0,"",2010-07-01,"10854","",,""
"232522205010854","22345400010478",2003,1,103,54,3,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522206010854","22345400010478",2003,1,103,54,4,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522211010854","22345475010478",2003,1,105,30,1,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522212010854","22345475010478",2003,1,105,30,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522213010854","22345475010478",2003,1,105,30,3,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522214010854","22345475010478",2003,1,105,30,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522323010854","22347989010478",2003,1,107,67,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522324010854","22347989010478",2003,1,107,67,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522325010854","22347989010478",2003,1,107,67,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522326010854","22347989010478",2003,1,107,67,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522171010854","22348078010478",2003,1,109,20,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522172010854","22348078010478",2003,1,109,20,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522173010854","22348078010478",2003,1,109,20,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522174010854","22348078010478",2003,1,109,20,4,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522163010854","22348122010478",2003,1,111,34,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522164010854","22348122010478",2003,1,111,34,2,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522165010854","22348122010478",2003,1,111,34,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522166010854","22348122010478",2003,1,111,34,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522139010854","22348180010478",2003,1,113,23,1,2003,90,50,0,0,1,0,"",2010-07-01,"10854","",,""
"232522140010854","22348180010478",2003,1,113,23,2,2003,60,0,,,,,"",2010-07-01,"10854","",,""
"232522141010854","22348180010478",2003,1,113,23,3,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522142010854","22348180010478",2003,1,113,23,4,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522187010854","22348589010478",2003,1,121,18,1,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522188010854","22348589010478",2003,1,121,18,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522189010854","22348589010478",2003,1,121,18,3,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522190010854","22348589010478",2003,1,121,18,4,2003,10,0,,,,,"",2010-07-01,"10854","",,""
"232522279010854","22348682010478",2003,1,123,47,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522280010854","22348682010478",2003,1,123,47,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522281010854","22348682010478",2003,1,123,47,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522282010854","22348682010478",2003,1,123,47,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522167010854","22348640010478",2003,1,123,62,1,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522168010854","22348640010478",2003,1,123,62,2,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522169010854","22348640010478",2003,1,123,62,3,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522170010854","22348640010478",2003,1,123,62,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522235010854","22348816010478",2003,1,125,59,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522236010854","22348816010478",2003,1,125,59,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522237010854","22348816010478",2003,1,125,59,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522238010854","22348816010478",2003,1,125,59,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"222038197010854","22349554010478",2004,1,3,31,1,2004,5,0,,,,,"",2010-03-17,"10854","",,""
"222038196010854","22349554010478",2004,1,3,31,2,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038195010854","22349554010478",2004,1,3,31,3,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038194010854","22349554010478",2004,1,3,31,4,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038193010854","22349469010478",2004,1,3,130,1,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038192010854","22349469010478",2004,1,3,130,2,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038191010854","22349469010478",2004,1,3,130,3,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038190010854","22349469010478",2004,1,3,130,4,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038201010854","22349727010478",2004,1,5,28,1,2004,1,0,,,,,"",2010-03-17,"10854","",,""
"222038200010854","22349727010478",2004,1,5,28,2,2004,30,0,,,,,"",2010-03-17,"10854","",,""
"222038199010854","22349727010478",2004,1,5,28,3,2004,1,0,,,,,"",2010-03-17,"10854","",,""
"222038198010854","22349727010478",2004,1,5,28,4,2004,1,0,,,,,"",2010-03-17,"10854","",,""
"222038205010854","22349807010478",2004,1,7,9,1,2004,10,0,,,,,"",2010-03-17,"10854","",,""
"222038204010854","22349807010478",2004,1,7,9,2,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038203010854","22349807010478",2004,1,7,9,3,2004,80,0,,,,,"",2010-03-17,"10854","",,""
"222038202010854","22349807010478",2004,1,7,9,4,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038209010854","22349881010478",2004,1,9,31,1,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038208010854","22349881010478",2004,1,9,31,2,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038207010854","22349881010478",2004,1,9,31,3,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038206010854","22349881010478",2004,1,9,31,4,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038213010854","22350290010478",2004,1,19,17,1,2004,0,10,0,1,0,0,"",2010-03-17,"10854","",,""
"222038212010854","22350290010478",2004,1,19,17,2,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038211010854","22350290010478",2004,1,19,17,3,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038210010854","22350290010478",2004,1,19,17,4,2004,0,10,1,0,0,0,"",2010-03-17,"10854","",,""
"222038217010854","22330388010478",2004,1,21,21,1,2004,1,0,,,,,"",2010-03-17,"10854","",,""
"222038216010854","22330388010478",2004,1,21,21,2,2004,1,0,,,,,"",2010-03-17,"10854","",,""
"222038215010854","22330388010478",2004,1,21,21,3,2004,1,0,,,,,"",2010-03-17,"10854","",,""
"222038214010854","22330388010478",2004,1,21,21,4,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038221010854","22330472010478",2004,1,21,56,1,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038220010854","22330472010478",2004,1,21,56,2,2004,10,40,0,1,0,0,"",2010-03-17,"10854","",,""
"222038219010854","22330472010478",2004,1,21,56,3,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038218010854","22330472010478",2004,1,21,56,4,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038225010854","22330684010478",2004,1,25,12,1,2004,15,0,,,,,"",2010-03-17,"10854","",,""
"222038224010854","22330684010478",2004,1,25,12,2,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038223010854","22330684010478",2004,1,25,12,3,2004,15,0,,,,,"",2010-03-17,"10854","",,""
"222038222010854","22330684010478",2004,1,25,12,4,2004,1,0,,,,,"",2010-03-17,"10854","",,""
"222038233010854","22330755010478",2004,1,25,41,1,2004,0,25,0,0,1,0,"",2010-03-17,"10854","",,""
"222038232010854","22330755010478",2004,1,25,41,2,2004,0,20,0,0,1,0,"",2010-03-17,"10854","",,""
"222038231010854","22330755010478",2004,1,25,41,3,2004,0,25,0,0,1,0,"",2010-03-17,"10854","",,""
"222038230010854","22330755010478",2004,1,25,41,4,2004,0,20,0,0,1,0,"",2010-03-17,"10854","",,""
"222038229010854","22330750010478",2004,1,25,61,1,2004,60,20,0,0,1,0,"",2010-03-17,"10854","",,""
"222038228010854","22330750010478",2004,1,25,61,2,2004,5,10,0,0,1,0,"",2010-03-17,"10854","",,""
"222038227010854","22330750010478",2004,1,25,61,3,2004,5,10,0,0,1,0,"",2010-03-17,"10854","",,""
"222038226010854","22330750010478",2004,1,25,61,4,2004,5,15,0,0,1,0,"",2010-03-17,"10854","",,""
"222038241010854","22330823010478",2004,1,27,11,1,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038240010854","22330823010478",2004,1,27,11,2,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038239010854","22330823010478",2004,1,27,11,3,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038238010854","22330823010478",2004,1,27,11,4,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038237010854","22330789010478",2004,1,27,44,1,2004,10,0,,,,,"",2010-03-17,"10854","",,""
"222038236010854","22330789010478",2004,1,27,44,2,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038235010854","22330789010478",2004,1,27,44,3,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038234010854","22330789010478",2004,1,27,44,4,2004,30,0,,,,,"",2010-03-17,"10854","",,""
"222038245010854","22331054010478",2004,1,33,45,1,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038244010854","22331054010478",2004,1,33,45,2,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038243010854","22331054010478",2004,1,33,45,3,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038242010854","22331054010478",2004,1,33,45,4,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038253010854","22331174010478",2004,1,35,38,1,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038252010854","22331174010478",2004,1,35,38,2,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038251010854","22331174010478",2004,1,35,38,3,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038250010854","22331174010478",2004,1,35,38,4,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038249010854","22331169010478",2004,1,35,66,1,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038248010854","22331169010478",2004,1,35,66,2,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038247010854","22331169010478",2004,1,35,66,3,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038246010854","22331169010478",2004,1,35,66,4,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038257010854","22331408010478",2004,1,39,30,1,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038256010854","22331408010478",2004,1,39,30,2,2004,0,0,,,,,"",2010-03-17,"10854","",,""
"222038255010854","22331408010478",2004,1,39,30,3,2004,5,55,0,1,1,0,"",2010-03-17,"10854","",,""
"222038254010854","22331408010478",2004,1,39,30,4,2004,1,1,0,0,0,1,"",2010-03-17,"10854","",,""
"222038261010854","22331454010478",2004,1,41,19,1,2004,1,0,,,,,"",2010-03-17,"10854","",,""
"222038260010854","22331454010478",2004,1,41,19,2,2004,1,0,,,,,"",2010-03-17,"10854","",,""
"222038259010854","22331454010478",2004,1,41,19,3,2004,1,0,,,,,"",2010-03-17,"10854","",,""
"222038258010854","22331454010478",2004,1,41,19,4,2004,1,0,,,,,"",2010-03-17,"10854","",,""
